mtu,baseline,RUSB,sigRUS
100,567.267,869.676,0.000
110,410.504,867.733,0.000
120,516.942,869.091,61.501
130,518.725,869.138,55.965
140,572.868,869.477,56.007
150,531.325,870.533,177.501
160,527.731,868.179,123.863
170,709.917,870.572,111.554
180,531.470,868.436,52.570
190,681.084,868.356,52.486
200,623.380,867.591,56.092
210,614.493,867.772,54.099
220,710.106,868.196,57.811
230,783.952,869.299,75.153
240,625.281,869.937,48.920
250,704.571,866.844,68.253
260,702.787,867.648,56.028
270,614.509,868.316,56.008
280,551.270,869.066,52.527
290,437.888,868.529,49.046
300,783.970,868.228,50.766
310,542.334,867.498,61.210
320,553.237,868.312,59.447
330,425.182,867.218,52.527
340,601.843,868.948,50.849
350,502.645,869.905,88.697
360,554.895,870.501,61.439
370,627.081,867.941,57.308
380,553.204,866.871,90.041
390,627.112,869.105,57.874
400,618.106,867.279,49.067
410,538.790,868.047,91.655
420,546.006,868.250,54.353
430,636.127,866.601,50.786
440,537.074,868.474,49.004
450,428.707,867.783,57.832
460,538.900,867.799,59.531
470,556.803,869.230,143.364
480,547.871,866.977,98.890
490,596.588,870.734,109.918
500,627.122,868.221,174.250
510,675.842,869.100,170.415
520,468.508,867.185,281.087
530,529.816,868.476,272.140
540,549.597,867.604,208.576
550,549.683,867.651,197.232
560,697.375,868.453,207.830
570,470.391,868.481,264.921
580,603.689,869.152,259.833
590,630.742,868.562,183.455
600,556.869,867.271,249.360
610,878.486,878.670,405.723
620,873.975,872.766,415.223
630,873.796,877.874,425.749
640,882.238,878.276,454.685
650,883.725,885.903,435.018
660,882.175,877.760,449.380
670,887.577,886.660,430.068
680,891.318,887.314,463.723
690,891.359,895.098,463.554
700,892.557,888.600,415.515
710,892.250,890.734,476.137
720,892.641,895.477,438.181
730,900.606,897.244,458.982
740,891.484,893.695,438.895
750,902.181,899.094,462.672
760,901.243,902.948,450.534
770,906.056,905.769,445.900
780,901.596,898.906,485.089
790,908.560,903.552,449.273
800,909.475,908.648,476.848
810,910.820,910.481,476.283
820,907.638,905.944,501.047
830,910.053,910.564,458.837
840,909.327,912.074,513.043
850,917.821,915.657,547.492
860,909.059,913.165,580.958
870,912.307,915.587,577.729
880,920.276,918.776,621.657
890,917.912,919.822,560.705
900,919.409,912.784,566.847
910,919.981,918.664,607.901
920,918.832,921.441,594.986
930,928.162,925.777,603.603
940,919.811,918.695,583.036
950,926.926,920.989,580.916
960,928.981,925.013,615.555
970,928.807,927.746,568.732
980,924.701,924.526,605.720
990,927.762,926.111,617.274
1000,928.854,928.345,606.518
1010,928.389,934.287,622.162
1020,929.231,926.545,616.206
1030,927.613,929.805,570.077
1040,929.206,932.214,636.336
1050,938.455,933.440,583.096
1060,928.140,932.159,626.667
1070,937.540,931.555,643.653
1080,937.325,933.130,602.117
1090,936.840,938.899,613.839
1100,935.205,931.651,902.114
1110,937.679,939.983,732.080
1120,937.450,941.415,752.376
1130,944.295,940.703,736.001
1140,936.986,939.927,772.926
1150,937.562,939.772,721.157
1160,941.923,940.469,749.341
1170,947.416,941.041,779.806
1180,936.400,940.440,735.328
1190,938.024,940.040,754.390
1200,946.815,940.796,784.229
1210,947.367,946.760,751.980
1220,941.240,939.772,751.247
1230,947.406,944.629,724.531
1240,947.361,949.106,761.584
1250,947.130,949.865,774.666
1260,946.919,945.734,710.546
1270,946.495,949.323,764.514
1280,947.111,949.985,710.168
1290,946.613,948.749,725.685
1300,947.863,948.278,691.990
1310,946.519,949.085,732.749
1320,950.676,949.856,706.243
1330,956.156,949.689,759.254
1340,947.276,949.199,709.834
1350,947.549,948.987,749.736
1360,955.765,948.911,882.342
1370,957.132,956.822,837.659
1380,952.103,949.463,854.137
1390,956.025,949.327,844.538
1400,956.190,956.176,867.643
1410,955.999,958.731,828.246
1420,955.682,952.350,831.012
1430,955.962,955.151,824.299
1440,956.139,958.070,881.337
1450,956.046,957.651,861.941
1460,956.025,954.620,878.464
1470,955.967,958.407,841.305
1480,956.836,958.493,820.822
1490,955.810,958.267,916.378
1500,956.146,957.789,877.605
1510,957.007,959.375,634.137
1520,956.794,958.367,641.245
1530,961.490,959.300,628.120
1540,956.038,959.661,870.017
1550,956.459,959.112,840.635
1560,957.220,958.139,843.971
1570,965.728,959.721,814.573
1580,956.438,958.179,852.211
1590,963.218,958.955,831.514
1600,966.092,959.877,838.403
1610,965.936,965.196,817.385
1620,961.219,958.619,913.417
1630,965.245,960.127,938.228
1640,965.308,960.266,926.268
1650,965.938,967.691,931.789
1660,965.716,959.100,924.051
1670,965.731,963.014,906.918
1680,966.275,966.801,919.121
1690,964.865,967.471,914.276
1700,965.013,963.828,931.489
1710,966.125,967.815,927.215
1720,965.668,967.440,939.251
1730,965.606,967.446,931.845
1740,966.614,968.378,926.019
1750,966.403,968.063,923.249
1760,965.559,969.166,930.210
1770,969.778,967.108,949.382
1780,965.140,967.635,934.827
1790,964.488,968.589,925.136
1800,966.963,967.858,925.454
1810,969.042,968.464,935.729
1820,965.479,966.704,927.748
1830,965.581,967.082,948.582
1840,967.833,965.871,898.529
1850,973.884,969.550,918.030
1860,964.759,968.189,896.411
1870,972.018,967.392,950.950
1880,974.182,969.973,949.252
1890,974.112,969.831,949.338
1900,968.898,968.443,949.380
1910,973.885,968.417,949.820
1920,974.219,967.629,949.927
1930,974.957,976.051,949.862
1940,970.572,966.985,949.422
1950,975.421,967.455,950.787
1960,974.846,970.478,950.931
1970,974.597,976.280,950.846
1980,974.221,975.007,949.944
1990,973.565,971.321,949.757
2000,974.053,975.323,954.477
2010,974.849,976.687,957.954
2020,974.768,976.122,950.529
2030,974.244,975.901,950.534
2040,974.634,975.010,958.945
2050,975.192,976.186,957.830
2060,975.019,976.696,958.944
2070,974.496,976.098,958.188
2080,974.493,975.717,959.908
2090,973.734,976.659,959.296
2100,974.765,975.961,959.700
2110,975.043,975.971,958.628
2120,973.924,976.612,959.466
2130,974.091,977.462,959.108
2140,974.181,975.446,958.942
2150,974.094,977.011,959.092
2160,973.947,976.150,958.671
2170,979.298,976.789,959.466
2180,974.707,975.909,958.106
2190,974.622,975.628,959.254
2200,974.682,976.227,958.227
2210,979.733,975.943,958.523
2220,974.363,976.985,960.370
2230,977.240,976.463,958.816
2240,978.166,976.093,958.733
2250,981.431,976.000,959.465
2260,974.137,975.555,959.026
2270,978.269,976.056,959.091
2280,976.572,976.573,960.179
2290,981.876,977.525,966.389
2300,974.280,976.815,959.195
2310,979.002,975.888,959.195
2320,981.604,976.456,963.911
2330,983.087,979.936,967.309
2340,978.557,976.233,963.909
2350,979.928,981.290,960.284
2360,983.577,976.771,966.410
2370,984.159,983.253,968.192
2380,983.200,976.162,941.236
2390,983.091,976.148,967.982
2400,983.425,984.104,967.057
2410,983.300,984.063,967.772
2420,983.218,977.313,965.989
2430,983.936,980.038,968.104
2440,983.738,984.407,967.287
2450,983.301,984.650,968.064
2460,983.404,976.887,967.896
2470,983.031,984.421,967.224
2480,983.952,985.264,967.268
2490,983.637,984.908,967.202
2500,982.815,981.586,968.820
2510,983.850,985.747,967.666
2520,984.310,985.005,967.982
2530,983.570,985.466,968.484
2540,984.184,985.607,968.634
2550,984.457,985.474,967.520
2560,983.449,985.238,966.137
2570,983.489,984.816,967.119
2580,982.961,984.257,966.889
2590,984.310,985.006,967.518
2600,983.230,984.645,968.128
2610,983.175,985.620,967.557
2620,984.180,985.186,968.482
2630,983.593,984.234,968.465
2640,983.344,984.629,967.204
2650,984.218,985.439,968.610
2660,983.847,984.548,966.641
2670,983.158,985.209,966.700
2680,984.335,984.294,967.662
2690,983.338,986.351,971.651
2700,983.679,985.133,967.540
2710,984.176,984.393,967.456
2720,983.132,984.256,974.084
2730,983.636,984.987,970.578
2740,983.615,984.183,967.038
2750,983.654,984.023,969.221
2760,984.162,985.627,974.714
2770,984.012,985.170,975.907
2780,983.872,984.306,970.961
2790,983.423,984.432,971.876
2800,983.762,984.971,975.845
2810,987.513,984.613,975.803
2820,982.815,983.876,972.884
2830,983.238,985.050,975.717
2840,984.204,985.638,975.886
2850,984.518,986.094,976.429
2860,984.623,985.062,976.581
2870,983.491,984.466,975.928
2880,987.306,986.005,976.474
2890,986.656,986.132,976.580
2900,983.237,983.579,975.949
2910,985.311,985.344,976.535
2920,986.803,984.633,976.598
2930,986.237,985.492,976.621
2940,983.693,984.754,976.743
2950,988.942,985.094,976.472
2960,987.138,984.950,976.534
2970,987.597,985.088,976.266
2980,983.827,984.034,975.593
2990,987.960,985.980,975.679
3000,990.182,987.403,976.369
3010,992.213,990.546,977.167
3020,986.867,984.676,977.334
3030,991.560,984.750,976.514
3040,993.335,984.679,975.405
3050,992.484,993.363,976.349
3060,989.490,987.396,976.366
3070,992.167,986.181,977.417
3080,992.765,987.562,976.224
3090,993.120,993.539,977.732
3100,988.926,984.865,975.865
3110,992.979,986.180,977.271
3120,992.527,992.691,975.824
3130,992.015,994.154,976.600
3140,992.761,991.284,976.957
3150,992.278,989.944,976.075
3160,992.757,993.883,975.803
3170,992.081,993.001,976.495
3180,992.004,992.254,976.056
3190,993.666,993.199,974.878
3200,991.919,992.075,975.658
3210,992.227,993.645,977.775
3220,992.044,992.261,976.266
3230,991.955,993.986,975.824
3240,992.859,994.259,978.380
3250,992.105,993.781,976.117
3260,992.923,993.294,976.009
3270,992.384,992.197,976.665
3280,993.954,994.047,977.692
3290,992.868,993.230,981.045
3300,993.347,993.945,976.097
3310,992.340,992.376,977.629
3320,992.883,993.878,976.368
3330,991.916,992.294,985.091
3340,992.362,993.709,976.432
3350,992.402,993.190,978.106
3360,992.001,993.615,984.147
3370,992.672,992.822,982.995
3380,992.591,992.621,976.686
3390,992.416,993.585,982.154
3400,992.676,993.193,985.095
3410,992.735,993.797,984.290
3420,992.229,993.633,983.815
3430,992.501,994.006,984.863
3440,992.446,993.271,984.086
3450,993.850,993.986,985.596
3460,992.819,993.150,984.213
3470,993.532,993.932,985.348
3480,993.139,994.319,984.713
3490,991.849,994.070,985.678
3500,992.549,993.264,982.658
3510,991.538,993.117,985.846
3520,992.252,994.213,984.148
3530,992.148,993.502,986.034
3540,991.683,993.181,984.002
3550,992.441,993.258,982.324
3560,992.924,994.134,985.005
3570,992.479,994.678,986.351
3580,992.988,994.142,983.793
3590,992.357,993.567,984.818
3600,993.592,994.424,985.176
3610,992.592,993.215,985.386
3620,993.280,993.863,985.132
3630,992.189,993.353,984.692
3640,992.670,994.240,985.595
3650,992.756,994.194,985.825
3660,993.023,994.463,955.429
3670,992.440,993.670,985.282
3680,992.401,994.351,985.299
3690,992.527,994.845,985.637
3700,992.805,992.642,985.720
3710,991.790,994.544,986.497
3720,992.320,993.705,985.573
3730,992.380,994.567,987.479
3740,992.678,993.649,986.054
3750,991.836,994.296,986.979
3760,993.074,993.691,985.320
3770,992.758,995.034,986.938
3780,992.296,993.789,985.846
3790,993.219,994.979,986.893
3800,992.594,994.069,985.721
3810,992.609,994.516,983.621
3820,992.233,994.255,984.359
3830,993.729,994.812,986.936
3840,992.399,994.326,985.680
3850,994.496,994.558,986.725
3860,992.382,993.830,985.302
3870,992.403,994.756,983.139
3880,993.173,995.553,986.896
3890,995.720,994.018,986.222
3900,993.240,993.378,985.090
3910,994.123,993.922,986.306
3920,994.520,993.546,987.209
3930,997.293,993.404,985.950
3940,991.624,993.258,985.155
3950,992.591,993.530,985.847
3960,998.903,994.255,987.337
3970,996.052,993.407,985.593
3980,992.907,994.596,985.804
3990,992.123,992.909,985.617
4000,995.168,994.531,986.351
4010,997.752,993.852,985.344
4020,993.472,994.175,986.224
4030,994.285,993.359,985.448
4040,995.570,993.955,986.560
4050,993.852,994.766,985.931
4060,992.645,993.491,985.941
4070,992.943,995.265,986.286
4080,998.821,992.861,985.762
4090,998.176,994.707,986.581
4100,992.948,993.569,985.929
4110,993.213,995.292,987.589
4120,996.281,994.951,984.544
4130,996.751,994.508,985.887
4140,997.039,993.100,987.124
4150,996.032,994.335,986.350
4160,1001.024,993.641,986.415
4170,1001.210,994.237,986.225
4180,999.598,993.734,986.749
4190,997.712,994.000,985.889
4200,997.748,994.308,986.352
4210,1001.203,997.572,985.552
4220,997.771,993.544,986.455
4230,998.774,993.769,984.294
4240,998.083,994.599,985.514
4250,1001.158,997.578,985.133
4260,997.940,994.215,985.511
4270,999.233,993.331,983.540
4280,1000.537,995.900,985.470
4290,1000.203,995.173,986.765
4300,997.917,994.455,986.181
4310,998.506,994.663,986.454
4320,999.718,994.735,990.121
4330,1002.833,996.165,986.329
4340,997.647,993.884,985.636
4350,1000.700,994.954,986.099
4360,999.693,994.687,985.806
4370,1001.098,1002.039,987.672
4380,998.083,993.648,986.477
4390,999.551,997.081,986.309
4400,1000.257,1001.965,986.684
4410,1001.163,1001.437,988.069
4420,1000.434,993.834,986.288
4430,1000.933,998.873,986.036
4440,1000.031,999.527,986.434
4450,1000.466,1001.212,987.210
4460,1000.329,993.630,984.986
4470,1001.214,994.252,985.680
4480,1001.020,1000.172,993.562
4490,1001.002,1002.956,990.102
4500,1001.399,996.996,987.545
4510,1000.705,996.250,989.618
4520,1000.958,1002.793,994.365
4530,1000.765,1002.727,994.068
4540,1000.708,998.053,988.610
4550,1001.442,999.278,992.034
4560,1001.591,1000.865,992.747
4570,1000.872,1002.334,992.977
4580,1001.840,999.392,988.279
4590,1001.105,994.751,994.152
4600,1000.956,1002.434,990.986
4610,1001.441,1001.864,989.138
4620,1000.701,1002.318,991.194
4630,1001.517,1001.273,994.466
4640,1001.057,1003.526,994.633
4650,1001.426,1001.912,994.258
4660,1001.249,1002.430,986.602
4670,1001.940,995.326,990.540
4680,1001.673,999.186,992.515
4690,1002.468,1003.462,991.341
4700,1002.053,996.240,988.591
4710,1001.456,1002.301,991.321
4720,1000.725,1002.089,995.180
