mtu,baseline,RUSB,sigRUS
4730,1000.559,1002.788,994.444
4740,1000.684,1001.279,990.458
4750,1001.228,1002.981,993.836
4760,1000.430,1002.569,993.983
4770,1000.173,1002.198,993.666
4780,1000.118,1002.478,990.022
4790,1000.785,1001.782,991.908
4800,1000.829,1002.491,994.194
4810,999.613,1002.918,994.466
4820,1000.976,1001.431,993.751
4830,999.590,1002.327,994.797
4840,1000.956,1002.405,993.733
4850,1001.064,1001.609,994.257
4860,1001.291,999.837,993.644
4870,1000.914,1002.057,992.118
4880,1002.069,1002.837,994.693
4890,1001.059,1003.695,994.697
4900,1001.522,1002.221,993.751
4910,1001.964,1003.304,993.838
4920,1000.594,1001.489,993.964
4930,1002.042,1003.307,994.360
4940,1001.499,1003.962,962.942
4950,1001.132,1001.519,993.271
4960,1000.976,1002.887,994.066
4970,1000.831,1003.641,993.188
4980,1001.120,1001.461,994.087
4990,1002.092,1003.038,993.185
5000,1000.596,1004.152,994.151
5010,1001.497,1002.243,994.129
5020,1000.786,1003.648,993.793
5030,1001.167,1003.725,994.528
5040,1001.774,1002.789,994.593
5050,1002.043,1003.629,994.570
5060,1001.181,1003.635,995.076
5070,1000.181,1000.905,994.801
5080,1000.434,1001.952,994.255
5090,1000.156,1002.841,993.124
5100,1000.574,1001.607,993.793
5110,1000.393,1001.765,995.848
5120,1000.891,1003.123,994.424
5130,1000.303,1001.081,995.410
5140,1000.305,1001.418,995.703
5150,999.548,1001.444,993.649
5160,1000.661,1001.351,994.026
5170,1001.123,1000.448,994.675
5180,1000.516,1001.462,993.817
5190,1001.247,1001.944,994.256
5200,1001.186,1002.761,993.524
5210,1001.164,1002.228,995.135
5220,1001.350,1001.953,994.593
5230,1000.242,1001.909,993.732
5240,1000.285,1000.757,993.772
5250,1000.552,1002.357,994.299
5260,999.590,1001.883,994.089
5270,1000.519,1000.772,994.465
5280,1000.154,1002.424,994.152
5290,1000.011,1001.814,994.861
5300,1000.666,1000.861,994.446
5310,1002.086,1002.678,994.739
5320,1000.602,1003.294,994.215
5330,1001.162,1002.456,994.570
5340,1001.602,1002.285,994.696
5350,1000.445,1002.849,994.823
5360,1001.038,1002.142,994.548
5370,1002.072,1003.190,995.324
5380,1000.783,1001.426,994.841
5390,1001.015,1001.317,994.486
5400,1000.807,1002.720,994.884
5410,1002.280,1003.250,995.410
5420,1001.607,1002.248,994.676
5430,1000.558,1002.335,995.365
5440,1001.683,1003.610,994.864
5450,1001.420,1003.067,994.549
5460,1002.011,1001.955,995.012
5470,1001.665,1003.974,995.302
5480,1001.206,1002.796,994.381
5490,1001.082,1002.277,995.284
5500,1001.170,1001.474,994.949
5510,1000.959,1001.733,995.053
5520,1001.251,1003.115,993.583
5530,1001.253,1002.217,995.473
5540,1000.179,1001.494,994.655
5550,999.777,1002.083,995.892
5560,1000.035,1000.927,994.612
5570,999.627,1002.236,993.924
5580,999.313,1001.604,993.439
5590,1000.593,1001.861,992.915
5600,1000.424,1001.974,992.724
5610,999.543,1003.223,994.971
5620,1000.467,1001.058,994.026
5630,999.018,1001.787,994.592
5640,999.481,1002.834,994.675
5650,1000.298,1001.164,993.963
5660,1000.740,1002.263,994.508
5670,999.418,1003.126,994.298
5680,1000.215,1000.793,994.951
5690,1000.592,1002.255,994.362
5700,999.236,1002.281,994.238
5710,1000.444,1001.507,993.882
5720,1000.109,1001.932,994.758
5730,1003.760,1002.785,995.073
5740,1000.151,1001.304,993.940
5750,999.900,1001.547,994.548
5760,1000.634,1003.160,993.312
5770,999.689,1001.393,993.817
5780,1000.760,1001.232,994.592
5790,1000.865,1003.206,994.717
5800,1000.570,1001.533,995.137
5810,1001.116,1002.226,993.374
5820,1000.193,1002.520,994.802
5830,999.291,1002.317,994.424
5840,1000.508,1002.436,994.153
5850,1001.262,1002.303,994.509
5860,999.249,1002.975,995.558
5870,1000.487,1003.707,994.508
5880,1000.632,1001.661,994.970
5890,1005.145,1003.292,995.034
5900,1000.005,1003.315,995.494
5910,1001.033,1001.924,994.572
5920,1002.206,1002.692,995.054
5930,1000.865,1004.086,994.571
5940,1000.760,1001.971,994.529
5950,1001.808,1002.348,995.180
5960,1000.655,1003.609,995.347
5970,1000.193,1002.987,997.486
5980,1001.347,1001.744,995.620
5990,999.501,1001.662,994.655
6000,1006.341,1001.250,994.884
6010,1003.572,1001.776,994.300
6020,1005.165,1000.637,995.620
6030,1002.685,1002.535,994.404
6040,1004.196,1001.242,994.488
6050,1008.124,1000.621,995.978
6060,1002.545,1002.329,993.693
6070,1008.250,1000.674,995.117
6080,1000.026,1000.823,1000.671
6090,1007.049,1001.997,996.072
6100,1006.779,1001.536,994.885
6110,1000.508,1001.608,998.646
6120,1006.781,1001.482,998.767
6130,1008.543,1003.093,995.809
6140,999.878,1001.185,997.027
6150,1000.194,1001.519,998.215
6160,1002.040,1003.212,1002.290
6170,1008.838,1002.337,1000.442
6180,1000.905,1001.808,1000.013
6190,1006.107,1002.534,996.208
6200,1008.354,1001.005,1002.353
6210,1004.553,1001.325,1001.426
6220,1000.697,1001.934,998.215
6230,1008.250,1002.573,997.297
6240,1005.664,1002.037,996.478
6250,1001.263,1002.204,1002.162
6260,1003.109,1002.680,997.463
6270,1008.711,1001.353,994.719
6280,1000.758,1001.125,1002.667
6290,1005.942,1002.207,1002.624
6300,1000.341,1003.545,998.448
6310,1000.257,1003.003,994.488
6320,1008.503,1001.449,1001.656
6330,1008.288,1002.530,1002.219
6340,1003.361,1003.012,994.907
6350,1001.389,1002.786,1001.053
6360,1008.984,1002.523,998.700
6370,1003.757,1003.555,999.628
6380,1000.465,1003.196,994.591
6390,1001.011,1001.492,994.908
6400,1003.086,1002.952,1002.917
6410,1006.297,1004.218,998.528
6420,1001.282,1003.036,1002.438
6430,1001.430,1002.196,996.794
6440,1001.955,1003.630,1003.045
6450,1008.770,1005.919,1003.401
6460,1001.262,1003.798,996.038
6470,1001.788,1002.803,999.688
6480,1009.025,1003.495,1003.576
6490,1007.490,1003.079,1003.547
6500,1001.745,1002.295,995.432
6510,1007.012,1002.973,1001.177
6520,1009.341,1003.820,996.504
6530,1009.656,1001.530,1003.842
6540,1000.928,1001.750,999.825
6550,1001.326,1003.653,997.570
6560,1008.917,1004.637,1000.629
6570,1001.452,1003.644,1002.578
6580,1006.903,1002.165,998.157
6590,1007.719,1002.034,1001.724
6600,1008.751,1002.773,1003.148
6610,1009.907,1001.802,1002.060
6620,1009.110,1001.670,998.572
6630,1007.952,1000.845,995.873
6640,1008.538,1009.126,998.638
6650,1008.204,1001.789,1001.134
6660,1008.901,1002.813,1002.328
6670,1008.581,1006.026,1002.960
6680,1009.173,1002.855,1000.926
6690,1008.580,1002.179,1002.641
6700,1007.783,1007.898,1000.630
6710,1008.077,1005.947,1001.951
6720,1008.434,1001.876,1001.533
6730,1008.664,1001.997,1002.099
6740,1008.330,1009.042,1002.664
6750,1008.476,1007.705,1000.926
6760,1009.169,1002.070,1002.894
6770,1008.099,1003.353,1003.062
6780,1008.858,1001.326,1001.259
6790,1009.003,1004.685,1001.868
6800,1009.085,1002.745,1001.323
6810,1008.560,1002.191,1002.118
6820,1009.341,1001.292,1002.225
6830,1007.826,1003.107,1002.245
6840,1007.428,1001.746,1003.294
6850,1008.412,1009.158,1001.030
6860,1008.287,1006.116,1001.764
6870,1009.191,1002.431,1002.874
6880,1008.140,1002.218,1003.609
6890,1009.611,1002.910,1003.459
6900,1001.180,1001.606,999.079
6910,1009.277,1002.445,1002.431
6920,1008.726,1004.493,1002.058
6930,1009.168,1009.775,1001.679
6940,1008.666,1005.251,1002.477
6950,1009.380,1002.533,1003.084
6960,1009.356,1003.669,1002.436
6970,1009.336,1009.999,1001.343
6980,1008.852,1001.442,1003.484
6990,1007.554,1001.915,1001.994
7000,1009.525,1003.433,1004.279
7010,1009.439,1008.299,1001.721
7020,1008.603,1001.786,1003.400
7030,1007.825,1005.495,1001.847
7040,1009.946,1003.659,1002.077
7050,1009.587,1009.997,1002.015
7060,1008.603,1004.911,1003.569
7070,1009.590,1003.140,1002.097
7080,1009.653,1003.377,1003.126
7090,1010.155,1003.558,1002.413
7100,1002.832,1002.374,1003.609
7110,1009.357,1003.191,1004.004
7120,1010.031,1004.732,1002.874
7130,1010.135,1006.252,1002.813
7140,1009.444,1004.940,1003.651
7150,1003.862,1003.792,1003.499
7160,1008.558,1006.088,1005.285
7170,1009.881,1008.713,1002.873
7180,1001.996,1003.291,1003.146
7190,1002.248,1003.735,1004.275
7200,1007.322,1004.970,1001.067
7210,1009.776,1007.414,1003.310
7220,1008.960,1002.304,999.347
7230,1008.406,1003.623,1002.307
7240,1009.521,1004.839,1003.313
7250,1009.651,1008.150,1002.369
7260,1008.794,1002.536,1003.166
7270,1010.599,1003.301,1004.253
7280,1007.934,1004.741,1003.693
7290,1009.503,1006.312,1003.062
7300,1007.616,1008.312,1003.041
7310,1008.958,1007.367,1004.197
7320,1008.455,1010.481,1002.330
7330,1008.665,1005.454,1004.722
7340,1007.973,1007.348,1002.768
7350,1009.230,1006.341,1004.068
7360,1008.350,1010.792,1001.049
7370,1008.727,1007.495,1001.994
7380,1008.013,1008.491,1001.804
7390,1006.988,1009.645,1002.390
7400,1007.197,1009.077,1002.182
7410,1007.155,1009.678,1002.077
7420,1008.244,1008.763,1000.881
7430,1006.485,1009.856,999.140
7440,1006.672,1009.205,1002.163
7450,1007.238,1010.379,1001.888
7460,1008.014,1008.689,1002.517
7470,1009.734,1007.637,1001.511
7480,1008.517,1009.157,1002.181
7490,1008.392,1006.232,1002.600
7500,1008.706,1009.912,1002.231
7510,1009.838,1008.576,1001.437
7520,1008.581,1008.134,1001.847
7530,1007.931,1010.434,1003.337
7540,1008.705,1006.980,1000.611
7550,1009.523,1010.374,1001.489
7560,1008.266,1007.911,1002.056
7570,1008.099,1007.907,1001.594
7580,1008.749,1008.182,1002.917
7590,1009.692,1009.671,1002.141
7600,1007.994,1011.058,1002.957
7610,1007.616,1008.066,1003.713
7620,1008.665,1004.766,1002.309
7630,1009.419,1010.344,1002.371
7640,1007.762,1011.427,1002.097
7650,1010.005,1003.869,1003.584
7660,1008.643,1004.331,1002.075
7670,1009.839,1004.227,1002.705
7680,1007.345,1011.293,1003.732
7690,1007.197,1011.146,1004.217
7700,1008.392,1008.979,1003.357
7710,1007.846,1003.943,1002.436
7720,1009.715,1011.128,1002.831
7730,1009.168,1006.049,1004.172
7740,1008.308,1003.386,1002.645
7750,1009.441,1005.880,1001.741
7760,1009.356,1009.959,1002.769
7770,1008.413,1008.032,1003.650
7780,1007.910,1003.039,985.994
7790,1009.209,1005.289,1002.811
7800,1010.467,1007.396,1003.021
7810,1007.867,1011.810,1003.123
7820,1009.336,1003.656,1001.636
7830,1008.790,1004.608,1002.958
7840,1010.048,1004.890,1002.578
7850,1008.705,1009.881,1003.629
7860,1008.371,1005.110,1004.572
7870,1008.412,1004.133,1003.103
7880,1009.650,1009.144,1002.224
7890,1010.889,1009.318,978.155
7900,1007.931,1003.760,1004.552
7910,1009.273,1004.391,1003.082
7920,1009.231,1004.686,1001.912
7930,1010.445,1005.870,1003.042
7940,1008.706,1004.015,1002.390
7950,1008.644,1003.923,1003.376
7960,1008.686,1003.945,1002.329
7970,1009.965,1005.993,1002.769
7980,1007.720,1011.286,1003.754
7990,1009.754,1003.651,1004.909
8000,1009.125,1004.562,1004.447
8010,1009.336,1005.099,1002.180
8020,1010.195,1010.141,1003.503
8030,1008.434,1007.032,1004.487
8040,1008.665,1004.135,1002.602
8050,1008.707,1005.852,1002.600
8060,1009.964,1004.741,1002.917
8070,1011.014,1007.074,1004.323
8080,1009.209,1008.523,1005.116
8090,1008.308,1008.598,1002.581
8100,1009.692,1005.746,1003.019
8110,1010.425,1005.538,1003.650
8120,1007.554,1011.800,1004.530
8130,1009.712,1004.263,1004.971
8140,1008.475,1007.535,1004.236
8150,1009.669,1005.880,1002.725
8160,1010.447,1011.150,1003.921
8170,1007.972,1012.223,1005.138
8180,1010.990,1004.378,1004.551
8190,1009.188,1005.348,1002.956
8200,1010.068,1005.205,1003.230
8210,1007.909,1011.193,1004.803
8220,1008.539,1010.480,1003.375
8230,1005.750,1010.306,1005.244
8240,1006.484,1010.254,1002.580
8250,1007.637,1012.154,1003.755
8260,1008.708,1003.454,1003.126
8270,1005.981,1010.115,1002.997
8280,1006.212,1009.089,1002.852
8290,1007.449,1012.105,1002.833
8300,1008.456,1011.090,1001.508
8310,1006.148,1009.732,1001.952
8320,1006.484,1010.964,1002.664
8330,1006.986,1010.416,1003.796
8340,1008.119,1009.920,1001.657
8350,1007.825,1010.445,1002.729
8360,1007.888,1010.728,1002.558
8370,1007.742,1011.702,1001.826
8380,1007.826,1009.628,1003.293
8390,1008.895,1010.406,1002.368
8400,1006.295,1010.235,1002.431
8410,1006.945,1011.436,1003.251
8420,1008.036,1006.771,1002.558
8430,1008.601,1006.668,1001.574
8440,1007.952,1011.064,1002.182
8450,1009.398,1011.132,1003.125
8460,1008.560,1012.172,1002.707
8470,1008.138,1010.152,1001.593
8480,1008.999,1010.884,1001.928
8490,1005.875,1010.563,1002.938
8500,1007.700,1011.593,1003.461
8510,1007.658,1011.919,1003.524
8520,1008.329,1010.668,1001.364
8530,1007.889,1011.441,1002.497
8540,1007.344,1011.290,1003.063
8550,1007.073,1010.785,1002.350
8560,1008.266,1011.512,1002.015
8570,1009.085,1009.018,1002.750
8580,1008.497,1010.693,1002.580
8590,1007.218,1011.749,1003.482
8600,1008.707,1010.303,1002.118
8610,1008.770,1012.206,1002.244
8620,1008.769,1010.598,1002.326
8630,1007.008,1011.073,1003.882
8640,1007.826,1011.982,1003.714
8650,1008.098,1010.349,1003.063
8660,1008.391,1009.564,1002.181
8670,1010.362,1005.747,1003.229
8680,1010.509,1008.832,1003.629
8690,1008.603,1012.762,1002.474
8700,1008.601,1002.948,1001.846
8710,1008.981,1001.104,1002.876
8720,1009.131,1001.928,1003.294
8730,1000.760,1002.959,1003.607
8740,999.019,1003.641,1000.590
8750,999.899,1002.069,1002.392
8760,1001.032,1002.967,1003.191
8770,999.691,1002.284,996.583
8780,999.123,1003.226,1001.029
8790,999.060,1000.925,1000.462
8800,1000.173,1000.775,1002.332
8810,1001.346,1002.856,996.250
8820,997.992,993.504,995.408
8830,991.303,992.138,994.966
8840,990.464,991.370,996.536
8850,991.450,993.049,993.670
8860,990.359,992.691,986.119
8870,989.309,984.707,985.867
8880,990.065,986.500,985.994
8890,984.340,984.573,984.675
8900,982.559,986.861,984.884
8910,983.607,984.954,985.996
8920,981.761,984.832,985.385
8930,980.818,984.393,985.344
8940,981.511,972.887,984.466
8950,982.432,974.181,985.050
8960,983.712,975.533,984.966
8970,980.231,975.916,982.466
8980,972.847,976.201,974.860
8990,972.744,975.381,975.176
9000,972.892,973.909,967.898