mtu,baseline,RUSuPb,RUSu-pktsig
610,863.3854,856.701,393.4218
620,857.8016,850.478,389.261
630,862.2256,856.493,403.4558
640,867.4918,859.484,418.1492
650,871.3922,865.805,403.4642
660,866.5431,858.754,412.9844
670,871.0395,862.537,418.4042
680,874.8726,868.904,426.0886
690,879.0875,871.959,440.871
700,873.0766,865.235,433.16
710,877.2926,872.408,453.5986
720,881.403,875.702,444.4448
730,885.5155,880.189,439.7722
740,879.8212,874.509,523.7944
750,884.4592,876.038,479.0246
760,887.4089,880.89,460.3956
770,891.3083,885.055,481.1528
780,885.7286,879.448,468.2802
790,889.833,883.38,486.3526
800,893.2048,885.456,470.7206
810,896.7926,889.834,482.4232
820,892.1555,886.589,494.3164
830,895.1062,889.396,507.0976
840,898.1604,891.793,494.8852
850,901.6367,895.233,566.1542
860,896.8941,890.35,573.0352
870,899.5825,894.308,581.7394
880,903.2206,896.157,581.2564
890,906.0879,899.667,566.2044
900,901.3201,894.734,557.6986
910,903.6759,898.384,591.6322
920,907.534,900.297,590.6984
930,909.8536,904.186,615.063
940,905.321,899.962,607.4266
950,908.0958,901.646,612.7558
960,910.6485,904.141,597.3826
970,913.5178,907.978,600.071
980,909.2245,901.465,630.107
990,911.4264,905.376,603.1476
1000,914.2133,908.961,626.8626
1010,917.5026,911.587,616.8384
1020,913.1188,906.536,623.1006
1030,915.0736,909.542,613.394
1040,917.7901,910.859,635.9408
1050,920.4975,915.029,620.6848
1060,915.6313,910.158,631.1178
1070,918.5991,912.999,661.3028
1080,920.5639,915.075,635.2726
1090,923.196,916.623,640.5638
1100,918.5308,914.069,867.5086
1110,921.2965,915.682,717.0208
1120,924.5025,918.374,734.312
1130,926.2944,920.673,736.6952
1140,922.0774,916.688,694.8632
1150,923.808,918.665,689.4876
1160,926.4592,921.044,733.9302
1170,928.7225,922.276,730.599
1180,924.5819,919.376,740.2104
1190,926.5497,920.833,734.7488
1200,928.7194,921.119,745.0024
1210,930.7526,924.271,783.6396
1220,927.8732,921.167,734.617
1230,928.9134,923.353,752.753
1240,931.452,923.296,735.7814
1250,933.1083,927.645,723.2686
1260,929.4039,923.57,724.7892
1270,930.8872,925.983,736.7048
1280,933.1726,927.815,738.4994
1290,935.3092,929.758,796.1996
1300,931.3355,926.111,716.1362
1310,932.8319,927.382,771.0152
1320,935.4218,929.508,749.7638
1330,937.0579,931.544,734.2544
1340,934.2017,927.959,762.973
1350,935.0741,930.071,720.3478
1360,937.5263,929.055,824.8846
1370,939.2689,933.62,834.5974
1380,935.8258,929.704,817.673
1390,937.3001,931.74,801.7446
1400,938.9946,933.416,795.8328
1410,941.0166,935.295,791.3942
1420,937.0509,932.061,835.7238
1430,939.292,933.633,826.421
1440,940.483,935.091,838.9574
1450,942.2357,937.648,859.6836
1460,939.276,935.322,826.5204
1470,940.1493,935.093,850.9136
1480,942.3684,936.446,838.4514
1490,943.7563,938.545,834.7116
1500,940.4428,934.642,842.6412
1510,942.098,936.507,634.425
1520,943.6156,938.564,644.0288
1530,945.717,939.657,620.3734
1540,942.3322,937.108,833.8108
1550,944.0497,938.456,859.1478
1560,945.2014,939.655,846.6578
1570,947.2848,941.406,839.6394
1580,943.5723,938.182,887.2262
1590,945.3331,940.077,872.711
1600,946.8024,941.631,869.6288
1610,948.2154,942.571,847.5954
1620,945.3834,939.877,915.194
1630,946.2848,941.554,896.4372
1640,947.9883,942.343,885.503
1650,949.3822,943.966,914.618
1660,946.4215,941.051,907.0922
1670,947.7873,942.083,910.7738
1680,949.5722,943.862,900.4672
1690,950.8425,944.831,890.2748
1700,947.524,942.535,900.005
1710,949.4184,943.054,909.649
1720,950.1069,944.898,880.7086
1730,951.9973,946.218,910.238
1740,949.2104,942.975,903.5638
1750,950.4566,944.665,883.3756
1760,951.8455,945.919,894.8178
1770,952.9118,947.825,906.904
1780,950.1802,945.07,918.5138
1790,951.4425,946.607,902.5334
1800,953.0364,946.806,919.3588
1810,954.0173,948.812,901.632
1820,951.0948,946.025,902.6104
1830,952.5098,946.957,907.9914
1840,953.7651,947.883,916.9744
1850,955.2464,949.418,917.9096
1860,952.0988,946.306,915.268
1870,953.6374,948.143,924.98
1880,955.0585,949.433,927.704
1890,955.9258,951.13,927.6808
1900,953.2002,948.245,926.4554
1910,954.4243,948.741,926.746
1920,955.6102,949.817,928.7968
1930,957.3248,951.659,930.5446
1940,954.7771,949.154,927.4342
1950,955.8223,950.954,930.3488
1960,956.8414,951.14,929.9538
1970,958.184,952.036,931.0852
1980,955.0856,950.451,930.0538
1990,956.5861,951.285,931.1232
2000,957.3167,952.644,931.8774